32063;-52
32064;-54
32065;-49
32066;-48
32067;-51
32068;-52
32069;-55
32070;-61
32071;-61
32072;-51
32073;-47
32074;-45
32075;-46
32076;-45
32077;-47
32078;-49
32079;-48
32080;-49
32081;-51
32082;-51
32083;-51
32084;-46
32085;-45
32086;-40
32087;-40
32088;-43
32089;-45
32090;-45
32091;-44
32092;-44
32093;-45
32094;-43
32095;-43
32096;-42
32097;-41
32098;-44
32099;-49
32100;-48
32101;-49
32102;-47
32103;-48
32104;-46
32105;-43
32106;-43
32107;-42
32108;-42
32109;-43
32110;-45
32111;-49
32112;-54
32113;-66
32114;-61
32115;-57
32116;-54
32117;-50
32118;-49
32119;-48
32120;-47
32121;-50
32122;-54
32123;-57
32124;-63
32125;-64
32126;-58
32127;-60
32128;-53
32129;-50
32130;-57
32131;-51
32132;-46
32133;-45
32134;-49
32135;-53
32136;-51
32137;-53
32138;-56
32139;-57
32140;-55
32141;-55
32142;-61
32143;-61
32144;-76
32145;-51
32146;-49
32147;-45
32148;-45
32149;-45
32150;-46
32151;-50
32152;-48
32153;-45
32154;-46
32155;-61
32156;-68
32157;-54
32158;-49
32159;-50
32160;-56
32161;-57
32162;-48
32163;-43
32164;-42
32165;-41
32166;-41
32167;-43
32168;-48
32169;-50
32170;-46
32171;-46
32172;-44
32173;-43
32174;-44
32175;-45
32176;-48
32177;-50
32178;-51
32179;-46
32180;-42
32181;-40
32182;-39
32183;-39
32184;-37
32185;-37
32186;-37
32187;-39
32188;-43
32189;-41
32190;-37
32191;-34
32192;-33
32193;-31
32194;-31
32195;-32
32196;-33
32197;-33
32198;-36
32199;-36
32200;-38
32201;-40
32202;-45
32203;-55
32204;-56
32205;-47
32206;-41
32207;-39
32208;-38
32209;-38
32210;-42
32211;-44
32212;-47
32213;-49
32214;-47
32215;-41
32216;-39
32217;-38
32218;-41
32219;-44
32220;-43
32221;-44
32222;-58
32223;-43
32224;-50
32225;-56
32226;-51
32227;-51
32228;-53
32229;-54
32230;-53
32231;-47
32232;-43
32233;-44
32234;-41
32235;-37
32236;-40
32237;-64
32238;-48
32239;-42
32240;-37
32241;-37
32242;-37
32243;-39
32244;-39
32245;-40
32246;-41
32247;-41
32248;-42
32249;-43
32250;-42
32251;-47
32252;-51
32253;-52
32254;-47
32255;-43
32256;-42
32257;-39
32258;-37
32259;-37
32260;-39
32261;-39
32262;-40
32263;-40
32264;-40
32265;-39
32266;-41
32267;-42
32268;-45
32269;-53
32270;-40
32271;-39
32272;-44
32273;-38
32274;-38
32275;-44
32276;-43
32277;-40
32278;-39
32279;-40
32280;-39
32281;-37
32282;-37
32283;-46
32284;-47
32285;-37
32286;-36
32287;-37
32288;-38
32289;-43
32290;-45
32291;-50
32292;-55
32293;-48
32294;-43
32295;-39
32296;-40
32297;-37
32298;-38
32299;-36
32300;-37
32301;-37
32302;-37
32303;-36
32304;-39
32305;-50
32306;-43
32307;-43
32308;-59
32309;-51
32310;-46
32311;-47
32312;-48
32313;-55
32314;-52
32315;-48
32316;-47
32317;-47
32318;-47
32319;-47
32320;-45
32321;-43
32322;-45
32323;-45
32324;-45
32325;-44
32326;-45
32327;-43
32328;-40
32329;-43
32330;-41
32331;-42
32332;-47
32333;-53
32334;-46
32335;-50
32336;-44
32337;-41
32338;-43
32339;-45
32340;-50
32341;-54
32342;-45
32343;-55
32344;-52
32345;-44
32346;-48
32347;-49
32348;-56
32349;-63
32350;-53
32351;-48
32352;-55
32353;-54
32354;-46
32355;-48
32356;-57
32357;-50
32358;-56
32359;-55
32360;-53
32361;-55
32362;-70
32363;-52
32364;-50
32365;-51
32366;-49
32367;-49
32368;-58
32369;-51
32370;-43
32371;-42
32372;-44
32373;-39
32374;-37
32375;-37
32376;-44
32377;-48
32378;-43
32379;-47
32380;-43
32381;-46
32382;-49
32383;-54
32384;-49
32385;-40
32386;-41
32387;-36
32388;-38
32389;-39
32390;-49
32391;-43
32392;-37
32393;-36
32394;-37
32395;-39
32396;-43
32397;-41
32398;-40
32399;-40
32400;-40
32401;-39
32402;-37
32403;-39
32404;-44
32405;-47
32406;-45
32407;-50
32408;-60
32409;-55
32410;-47
32411;-54
32412;-56
32413;-51
32414;-49
32415;-46
32416;-44
32417;-47
32418;-45
32419;-44
32420;-43
32421;-38
32422;-38
32423;-42
32424;-42
32425;-39
32426;-43
32427;-45
32428;-38
32429;-40
32430;-39
32431;-43
32432;-42
32433;-48
32434;-43
32435;-42
32436;-43
32437;-46
32438;-48
32439;-44
32440;-39
32441;-37
32442;-37
32443;-41
32444;-39
32445;-41
32446;-44
32447;-52
32448;-49
32449;-43
32450;-42
32451;-42
32452;-46
32453;-51
32454;-48
32455;-46
32456;-46
32457;-41
32458;-39
32459;-42
32460;-51
32461;-42
32462;-45
32463;-44
32464;-37
32465;-38
32466;-34
32467;-36
32468;-36
32469;-36
32470;-38
32471;-37
32472;-38
32473;-38
32474;-52
32475;-36
32476;-53
32477;-38
32478;-50
32479;-50
32480;-49
32481;-48
32482;-43
32483;-47
32484;-47
32485;-49
32486;-49
32487;-43
32488;-45
32489;-51
32490;-67
32491;-55
32492;-51
32493;-49
32494;-46
32495;-49
32496;-49
32497;-49
32498;-42
32499;-45
32500;-43
32501;-55
32502;-48
32503;-45
32504;-52
32505;-46
32506;-44
32507;-51
32508;-43
32509;-40
32510;-39
32511;-37
32512;-37
32513;-38
32514;-38
32515;-40
32516;-43
32517;-49
32518;-54
32519;-49
32520;-43
32521;-43
32522;-45
32523;-42
32524;-41
32525;-41
32526;-41
32527;-41
32528;-40
32529;-42
32530;-43
32531;-45
32532;-46
32533;-47
32534;-46
32535;-47
32536;-48
32537;-50
32538;-52
32539;-50
32540;-43
32541;-40
32542;-38
32543;-37
32544;-38
32545;-37
32546;-43
32547;-47
32548;-43
32549;-42
32550;-40
32551;-39
32552;-39
32553;-38
32554;-39
32555;-40
32556;-40
32557;-41
32558;-43
32559;-42
32560;-44
32561;-46
32562;-48
32563;-46
32564;-46
32565;-46
32566;-46
32567;-47
32568;-49
32569;-49
32570;-49
32571;-46
32572;-43
32573;-39
32574;-37
32575;-37
32576;-36
32577;-36
32578;-37
32579;-39
32580;-37
32581;-38
32582;-37
32583;-37
32584;-37
32585;-39
32586;-39
32587;-39
32588;-37
32589;-37
