39766;-40
39767;-36
39768;-37
39769;-40
39770;-44
39771;-56
39772;-41
39773;-61
39774;-39
39775;-66
39776;-43
39777;-48
39778;-48
39779;-42
39780;-43
39781;-43
39782;-44
39783;-50
39784;-49
39785;-51
39786;-54
39787;-66
39788;-60
39789;-57
39790;-61
39791;-67
39792;-70
39793;-68
39794;-64
39795;-57
39796;-54
39797;-49
39798;-47
39799;-46
39800;-44
39801;-40
39802;-36
39803;-35
39804;-35
39805;-43
39806;-38
39807;-46
39808;-48
39809;-41
39810;-42
39811;-34
39812;-39
39813;-34
39814;-34
39815;-36
39816;-38
39817;-45
39818;-44
39819;-57
39820;-40
39821;-50
39822;-41
39823;-45
39824;-48
39825;-58
39826;-48
39827;-51
39828;-51
39829;-54
39830;-54
39831;-55
39832;-53
39833;-58
39834;-59
39835;-54
39836;-51
39837;-50
39838;-50
39839;-51
39840;-53
39841;-58
39842;-68
39843;-78
39844;-73
39845;-57
39846;-46
39847;-43
39848;-47
39849;-44
39850;-42
39851;-40
39852;-38
39853;-35
39854;-41
39855;-39
39856;-39
39857;-40
39858;-33
39859;-33
39860;-34
39861;-35
39862;-33
39863;-34
39864;-45
39865;-45
39866;-47
39867;-46
39868;-43
39869;-44
39870;-57
39871;-46
39872;-48
39873;-52
39874;-66
39875;-60
39876;-60
39877;-60
39878;-51
39879;-55
39880;-57
39881;-55
39882;-52
39883;-50
39884;-49
39885;-51
39886;-53
39887;-55
39888;-63
39889;-66
39890;-52
39891;-45
39892;-43
39893;-41
39894;-48
39895;-45
39896;-38
39897;-39
39898;-36
39899;-33
39900;-41
39901;-42
39902;-40
39903;-37
39904;-32
39905;-36
39906;-33
39907;-33
39908;-36
39909;-40
39910;-47
39911;-47
39912;-39
39913;-55
39914;-40
39915;-46
39916;-51
39917;-49
39918;-45
39919;-42
39920;-42
39921;-44
39922;-52
39923;-52
39924;-53
39925;-54
39926;-60
39927;-57
39928;-55
39929;-55
39930;-58
39931;-61
39932;-61
39933;-57
39934;-55
39935;-48
39936;-46
39937;-47
39938;-47
39939;-48
39940;-39
39941;-36
39942;-34
39943;-38
39944;-41
39945;-37
39946;-52
